osm_id,code,fclass,name,Latitude,Longitude
5301034189,5601,railway_station,Viluppuram Junction,11° 56' 30.11"" N,079° 29' 56.94"" E
5301336409,5601,railway_station,Venkatesapuram,11° 55' 52.24"" N,079° 26' 33.96"" E
5301337838,5601,railway_station,Mambalappattu,11° 57' 8.94"" N,079° 22' 26.04"" E
5301337891,5601,railway_station,Tirukkovilur,11° 58' 32.57"" N,079° 13' 24.58"" E
5301337980,5601,railway_station,Tandarai,12° 06' 42.86"" N,079° 09' 19.3"" E
5301337997,5601,railway_station,Tiruvannamalai,12° 14' 18.45"" N,079° 04' 40.3"" E
5301739700,5601,railway_station,Turinjapuram,12° 19' 2.25"" N,079° 05' 4.79"" E
5301740123,5601,railway_station,Agaram Sibbandi,12° 23' 27.4"" N,079° 06' 8.28"" E
5301740166,5601,railway_station,Polur,12° 30' 37.24"" N,079° 07' 48.61"" E
5301740197,5601,railway_station,Arni Road,12° 37' 55.54"" N,079° 12' 33.39"" E
5301740201,5601,railway_station,Kannamangalam,12° 45' 13.5"" N,079° 09' 41.88"" E
5301740205,5601,railway_station,Kaniyambadi,12° 48' 46.08"" N,079° 07' 30.57"" E
5301740207,5601,railway_station,Vellore Cantonment,12° 54' 38.34"" N,079° 07' 40.25"" E
5301762158,5601,railway_station,Valavanur,11° 55' 4.19"" N,079° 34' 27.19"" E
5301762167,5601,railway_station,Chinnababu Samudram,11° 55' 10.56"" N,079° 41' 12.08"" E
5302069214,5601,railway_station,Kurinjipadi,11° 34' 21.9"" N,079° 35' 47.05"" E
5302069253,5601,railway_station,Vadalur,11° 33' 25.4"" N,079° 32' 46.67"" E
5302069263,5601,railway_station,Neyveli,11° 32' 23.0"" N,079° 28' 37.41"" E
5302069335,5601,railway_station,Vriddhachalam Junction,11° 32' 0.01"" N,079° 18' 59.48"" E
5302069336,5601,railway_station,Uttangalmangalam,11° 32' 24.34"" N,079° 25' 52.16"" E
